num_jobs,ops_per_job,num_machines,instance_id,total_operations,instance_name,makespan,solve_time,status,solver
5,5,5,0,25,J5_O5_M5_I0,412,0.00107640000351239,success,DispatchingRule
5,5,5,1,25,J5_O5_M5_I1,581,0.0008866999996826053,success,DispatchingRule
5,5,5,2,25,J5_O5_M5_I2,466,0.0006584999937331304,success,DispatchingRule
5,5,5,3,25,J5_O5_M5_I3,452,0.0006641999934799969,success,DispatchingRule
5,5,5,4,25,J5_O5_M5_I4,479,0.000669400003971532,success,DispatchingRule
5,5,5,5,25,J5_O5_M5_I5,403,0.0008214999979827553,success,DispatchingRule
5,5,5,6,25,J5_O5_M5_I6,464,0.0008023999980650842,success,DispatchingRule
5,5,5,7,25,J5_O5_M5_I7,486,0.0007042000070214272,success,DispatchingRule
5,5,5,8,25,J5_O5_M5_I8,546,0.0006915999983903021,success,DispatchingRule
5,5,5,9,25,J5_O5_M5_I9,444,0.0006630999996559694,success,DispatchingRule
5,5,5,10,25,J5_O5_M5_I10,357,0.0006007999909343198,success,DispatchingRule
5,5,5,11,25,J5_O5_M5_I11,625,0.000604800006840378,success,DispatchingRule
5,5,5,12,25,J5_O5_M5_I12,437,0.0005944000004092231,success,DispatchingRule
5,5,5,13,25,J5_O5_M5_I13,451,0.0006018999993102625,success,DispatchingRule
5,5,5,14,25,J5_O5_M5_I14,497,0.0006110999966040254,success,DispatchingRule
5,5,5,15,25,J5_O5_M5_I15,420,0.0006010000070091337,success,DispatchingRule
5,5,5,16,25,J5_O5_M5_I16,561,0.0006851999933132902,success,DispatchingRule
5,5,5,17,25,J5_O5_M5_I17,497,0.0006663999956799671,success,DispatchingRule
5,5,5,18,25,J5_O5_M5_I18,536,0.0006820999988121912,success,DispatchingRule
5,5,5,19,25,J5_O5_M5_I19,438,0.0006897999992361292,success,DispatchingRule
5,5,5,20,25,J5_O5_M5_I20,462,0.000677400006679818,success,DispatchingRule
5,5,5,21,25,J5_O5_M5_I21,481,0.0013340999867068604,success,DispatchingRule
5,5,5,22,25,J5_O5_M5_I22,516,0.0009639999916544184,success,DispatchingRule
5,5,5,23,25,J5_O5_M5_I23,425,0.0006293000042205676,success,DispatchingRule
5,5,5,24,25,J5_O5_M5_I24,388,0.0008171999943442643,success,DispatchingRule
5,5,5,25,25,J5_O5_M5_I25,410,0.0011575999960768968,success,DispatchingRule
5,5,5,26,25,J5_O5_M5_I26,521,0.0011149999918416142,success,DispatchingRule
5,5,5,27,25,J5_O5_M5_I27,471,0.001068400000804104,success,DispatchingRule
5,5,5,28,25,J5_O5_M5_I28,493,0.0006982999911997467,success,DispatchingRule
5,5,5,29,25,J5_O5_M5_I29,503,0.0006744999991497025,success,DispatchingRule
5,5,10,0,25,J5_O5_M10_I0,361,0.0012340999965090305,success,DispatchingRule
5,5,10,1,25,J5_O5_M10_I1,341,0.0010019000037573278,success,DispatchingRule
5,5,10,2,25,J5_O5_M10_I2,328,0.00109790000715293,success,DispatchingRule
5,5,10,3,25,J5_O5_M10_I3,578,0.0008051000040723011,success,DispatchingRule
5,5,10,4,25,J5_O5_M10_I4,394,0.0006020000000717118,success,DispatchingRule
5,5,10,5,25,J5_O5_M10_I5,341,0.000601100007770583,success,DispatchingRule
5,5,10,6,25,J5_O5_M10_I6,386,0.0006945999921299517,success,DispatchingRule
5,5,10,7,25,J5_O5_M10_I7,402,0.0009741999965626746,success,DispatchingRule
5,5,10,8,25,J5_O5_M10_I8,490,0.0007415000000037253,success,DispatchingRule
5,5,10,9,25,J5_O5_M10_I9,356,0.0006010999932186678,success,DispatchingRule
5,5,10,10,25,J5_O5_M10_I10,349,0.0012194999872008339,success,DispatchingRule
5,5,10,11,25,J5_O5_M10_I11,365,0.001237300006323494,success,DispatchingRule
5,5,10,12,25,J5_O5_M10_I12,319,0.001122299989219755,success,DispatchingRule
5,5,10,13,25,J5_O5_M10_I13,356,0.0010694999946281314,success,DispatchingRule
5,5,10,14,25,J5_O5_M10_I14,388,0.0011228000075789168,success,DispatchingRule
5,5,10,15,25,J5_O5_M10_I15,404,0.0012375999940559268,success,DispatchingRule
5,5,10,16,25,J5_O5_M10_I16,424,0.0012346000003162771,success,DispatchingRule
5,5,10,17,25,J5_O5_M10_I17,345,0.0009734000050229952,success,DispatchingRule
5,5,10,18,25,J5_O5_M10_I18,377,0.0011430000013206154,success,DispatchingRule
5,5,10,19,25,J5_O5_M10_I19,398,0.001176700010546483,success,DispatchingRule
5,5,10,20,25,J5_O5_M10_I20,309,0.001175800003693439,success,DispatchingRule
5,5,10,21,25,J5_O5_M10_I21,563,0.0009761999972397462,success,DispatchingRule
5,5,10,22,25,J5_O5_M10_I22,418,0.001174599994556047,success,DispatchingRule
5,5,10,23,25,J5_O5_M10_I23,450,0.00114900000335183,success,DispatchingRule
5,5,10,24,25,J5_O5_M10_I24,423,0.0011267999943811446,success,DispatchingRule
5,5,10,25,25,J5_O5_M10_I25,405,0.0009594000002834946,success,DispatchingRule
5,5,10,26,25,J5_O5_M10_I26,438,0.0007027000101516023,success,DispatchingRule
5,5,10,27,25,J5_O5_M10_I27,464,0.0006274000043049455,success,DispatchingRule
5,5,10,28,25,J5_O5_M10_I28,404,0.0010584999981801957,success,DispatchingRule
5,5,10,29,25,J5_O5_M10_I29,326,0.0010642999986885116,success,DispatchingRule
5,5,20,0,25,J5_O5_M20_I0,402,0.0011546000023372471,success,DispatchingRule
5,5,20,1,25,J5_O5_M20_I1,370,0.002343300002394244,success,DispatchingRule
