num_jobs,ops_per_job,num_machines,instance_id,total_operations,instance_name,makespan,solve_time,status,solver
,,,,,,483,0.19129289998090826,success,GNN
,,,,,,644,0.0792793000000529,success,GNN
,,,,,,458,0.07366130000445992,success,GNN
,,,,,,452,0.0696145000110846,success,GNN
,,,,,,555,0.07008860001224093,success,GNN
,,,,,,442,0.06390569999348372,success,GNN
,,,,,,467,0.06299700000090525,success,GNN
,,,,,,571,0.06311680001090281,success,GNN
,,,,,,647,0.06821979998494498,success,GNN
,,,,,,451,0.06787460000487044,success,GNN
,,,,,,353,0.06874000001698732,success,GNN
,,,,,,586,0.06678930000634864,success,GNN
,,,,,,534,0.065972199983662,success,GNN
,,,,,,497,0.0656734999793116,success,GNN
,,,,,,551,0.06378630001563579,success,GNN
,,,,,,499,0.07195039998623542,success,GNN
,,,,,,597,0.06504769998718984,success,GNN
,,,,,,458,0.060633999994024634,success,GNN
,,,,,,546,0.0616866999771446,success,GNN
,,,,,,436,0.07052189999376424,success,GNN
,,,,,,490,0.06167880000430159,success,GNN
,,,,,,482,0.06590820002020337,success,GNN
,,,,,,515,0.06592519997502677,success,GNN
,,,,,,488,0.06311540000024252,success,GNN
,,,,,,388,0.06184039998333901,success,GNN
,,,,,,410,0.06939869999769144,success,GNN
,,,,,,516,0.06899219998740591,success,GNN
,,,,,,525,0.06962230001226999,success,GNN
,,,,,,429,0.0648698000004515,success,GNN
,,,,,,503,0.06362480000825599,success,GNN
,,,,,,361,0.06069990000105463,success,GNN
,,,,,,373,0.06865540001308545,success,GNN
,,,,,,348,0.06412180000916123,success,GNN
,,,,,,569,0.06551879999460652,success,GNN
,,,,,,425,0.06381700001657009,success,GNN
,,,,,,368,0.0664655999862589,success,GNN
,,,,,,344,0.06277719998615794,success,GNN
,,,,,,420,0.06265080001321621,success,GNN
,,,,,,439,0.06157859999802895,success,GNN
,,,,,,384,0.06422490000841208,success,GNN
,,,,,,349,0.060933200002182275,success,GNN
,,,,,,424,0.07151829998474568,success,GNN
,,,,,,373,0.06823019997682422,success,GNN
