num_jobs,ops_per_job,num_machines,instance_id,total_operations,instance_name,makespan_random,time_random,status_random,makespan_schedulenet_spt,time_schedulenet_spt,status_schedulenet_spt,makespan_mwr,time_mwr,status_mwr,makespan_spt,time_spt,status_spt
5,5,5,0,25,J5_O5_M5_I0,643,0.023842399998102337,success,543,0.03402099999948405,success,412,0.0017151000065496191,success,483,0.002558899999712594,success
5,5,5,1,25,J5_O5_M5_I1,706,0.02780900000652764,success,794,0.030400699994061142,success,581,0.0012626999960048124,success,624,0.0010243999859085307,success
5,5,5,2,25,J5_O5_M5_I2,609,0.022538999997777864,success,494,0.030584600011934526,success,466,0.0012236000038683414,success,458,0.0010805000056279823,success
5,5,5,3,25,J5_O5_M5_I3,452,0.020718400002806447,success,642,0.025621000007959083,success,452,0.0014261000033002347,success,452,0.0012131999974371865,success
5,5,5,4,25,J5_O5_M5_I4,597,0.022471699994639494,success,664,0.027976900004432537,success,479,0.0015629999979864806,success,555,0.0011041999969165772,success
5,5,5,5,25,J5_O5_M5_I5,502,0.020992999998270534,success,592,0.02571390000230167,success,403,0.0012668999988818541,success,440,0.0009935999987646937,success
5,5,5,6,25,J5_O5_M5_I6,464,0.01944540000113193,success,648,0.02641619999485556,success,464,0.001344999996945262,success,467,0.0010897000029217452,success
5,5,5,7,25,J5_O5_M5_I7,503,0.023643100008484907,success,736,0.028779800006304868,success,486,0.0012953999976161867,success,470,0.0014305999939097092,success
5,5,5,8,25,J5_O5_M5_I8,561,0.0219883999961894,success,877,0.026017999989562668,success,546,0.0018275000038556755,success,543,0.001030300001730211,success
5,5,5,9,25,J5_O5_M5_I9,488,0.0244613999966532,success,628,0.028187200005049817,success,444,0.001380999994580634,success,444,0.0011214000114705414,success
5,5,5,10,25,J5_O5_M5_I10,598,0.024953799991635606,success,432,0.0324242999922717,success,357,0.0014242000033846125,success,383,0.0011259000020800158,success
5,5,5,11,25,J5_O5_M5_I11,675,0.017982999997911975,success,717,0.029758599994238466,success,625,0.0014288999955169857,success,586,0.0014119999977992848,success
5,5,5,12,25,J5_O5_M5_I12,463,0.03040010000404436,success,736,0.027793900007964112,success,437,0.001308699997025542,success,407,0.0012878999987151474,success
5,5,5,13,25,J5_O5_M5_I13,565,0.021760600007837638,success,592,0.026541900006122887,success,451,0.001326800003880635,success,399,0.0010953000019071624,success
